SQL_ID,SQL_TEXT,ELAPSED_TIME,CPU_TIME,EXECUTIONS,DISK_READS,BUFFER_GETS,OPTIMIZER_COST
3un99a0zwp4vd,"select owner#,name,namespace,remoteowner,linkname,p_timestamp,p_obj#, nvl(property,0),subname,type#,flags,d_attrs from dependency$ d, obj$ o where d_obj#=:1 and p_obj#=obj#(+) order by order#",92580,87032,73,107,1123,54
3vc634zd63yf0,DECLARE job BINARY_INTEGER := :job;  next_date TIMESTAMP WITH TIME ZONE := :mydate;  broken BOOLEAN := FALSE;  job_name VARCHAR2(128) := :job_name;  job_subname VARCHAR2(128) := :job_subname;  job_own,91509,37911,1,6,34,0
a3jpjzh7mtwwp,"select /*+ index(idl_ub2$ i_idl_ub21) */ piece#,length,piece from idl_ub2$ where obj#=:1 and part=:2 and version=:3 order by piece#",90454,8123,11,24,95,3
g94wn7w0dr4tp,delete /* KSXM:CLEAN_PEND_COL *//*+ dynamic_sampling(4) */   from sys.wri$_optstat_histhead_history h   where not exists         (select /*+ unnest */ 1 from sys.obj$ o where o.obj# = h.obj#)     and ,88977,45320,1,22,277,3
ga4mbqqxya48k,"select t.ts#,t.file#,t.block#,nvl(t.bobj#,0),nvl(t.tab#,0),t.intcols,nvl(t.clucols,0),t.flags,t.pctfree$,t.pctused$,t.initrans,t.maxtrans,t.rowcnt,t.blkcnt,t.empcnt,t.avgspc,t.chncnt,t.avgrln,t.analyz",86915,90324,135,85,553,2
8m2740gp00tbk,select count(*) from user_tables where table_name= :1,85135,78317,1,6,191,9
abz5d7mk4hw25,SELECT COUNT(*) FROM                                                            (SELECT /* interim patches */                                                          'Interim patch ' || patch_id || ',84253,58670,1,71,1118,49
acmvv4fhdc9zh,"select obj#,type#,ctime,mtime,stime, status, dataobj#, flags, oid$, spare1, spare2, spare3, signature, spare7, spare8, spare9, nvl(dflcollid, 16382), creappid, creverid, modappid, modverid, crepatchid",83509,107841,350,92,1454,3
b9j95v06zu7dk,"SELECT                  OS_USERNAME, USERNAME, USERHOST, TERMINAL, TIMESTAMP,                  OWNER, OBJ_NAME, ACTION_NAME, RETURNCODE, SQL_TEXT             FROM DBA_AUDIT_TRAIL             WHERE TIM",83400,72542,3,10,498,1085
a3jpjzh7mtwwp,"select /*+ index(idl_ub2$ i_idl_ub21) */ piece#,length,piece from idl_ub2$ where obj#=:1 and part=:2 and version=:3 order by piece#",83201,24728,77,115,395,3
cq8s0cpgt7xn9,"SELECT xs.sid                                                                FROM   sys.rxs$sessions xs                                                   WHERE  BITAND(xs.flag,32) <> 32 AND           ",82124,81244,1,4,236,1
3mkdy3ns38nxf,delete /* QOSH:PURGE_OLD_STS *//*+ dynamic_sampling(4) */   from sys.wri$_optstat_histhead_history     where savtime < :1 and savtime > timestamp '1900-01-01 00:00:00 -0:0'   and rownum <=  :2   ,80978,45692,1,111,122,3
8swypbbr0m372,"select order#,columns,types from access$ where d_obj#=:1",80677,54859,136,85,2624,3
gtf6tgc2ycgxx,select count(*) from XDB.XDB$SCHEMA s where s.xmldata.schema_url = 'http://xmlns.oracle.com/xdb/XDBSchema.xsd',80161,47271,1,74,1003,1
03c2bcdtn6w4r,DELETE FROM wri$_sqlset_plans p WHERE EXISTS (SELECT /*+ UNNEST */1  FROM TABLE (dbms_sqltune.transform_sqlset_cursor(:cur)) WHERE p.stmt_id = to_number(other) AND        p.plan_hash_value = plan_hash,79443,69416,1,54,2205,31
5t2y8w72h8vh8,"select min(timeout) from sys.""CDB_SUBSCR_DUR_REGISTRATIONS""",75935,37250,2,3,1591,1
ct6c4h224pxgz,"BEGIN   BEGIN     IF (sys.is_vpd_enabled(sys.dictionary_obj_owner, sys.dictionary_obj_name, xdb.DBMS_XDBZ.IS_ENABLED_CONTENTS)) THEN       xdb.XDB_PITRIG_PKG.pitrig_truncate(sys.dictionary_obj_owner, ",74755,64100,4,26,527,0
9tt2m0mpc2qqp,"select /*+ index(idl_char$ i_idl_char1) */ piece#,length,piece from idl_char$ where obj#=:1 and part=:2 and version=:3 order by piece#",73159,31693,77,43,239,3
dxkqgnf3f843s,"select count(*) as num_windows, sum(case enabled when 'TRUE' then 1 else 0 end) as num_enabled from dba_scheduler_windows",73037,47896,1,10,1410,12
9x2prazfz86dz," select s.file#, s.block#, s.ts#, t.obj#, s.hwmincr, t.obj# from tab$ t, seg$ s where bitand(s.spare1, 4503599627370496) = 4503599627370496 and bitand(s.spare1, 65536) <> 65536  and s.file# = t.file# ",71670,68512,1,0,378,547
gt489n9anmj7n,SELECT SUM(NUM_ROWS) FROM DBA_TABLES WHERE OWNER = 'SYS' AND TABLE_NAME = 'WRI$_SQLSET_STATEMENTS',71402,68804,1,5,152,10
grvc6qzrs12dc,"SELECT /*+ NO_STATEMENT_QUEUING RESULT_CACHE (SYSOBJ=TRUE SHELFLIFE=30) */ ""OBJ#"",""PROGRAM_OID"",""FLAGS"",""JOB_STATUS"",""LAST_START_DATE"",""RETRY_COUNT"",""RUNNING_INSTANCE"",""RUNNING_SLAVE"",""JOB_DEST_ID"" FR",69395,61929,3,1,1400,1
87gaftwrm2h68,"select o.owner#,o.name,o.namespace,o.remoteowner,o.linkname,o.subname from obj$ o where o.obj#=:1",68401,80932,1805,14,4033,3
gtf6tgc2ycgxx,select count(*) from XDB.XDB$SCHEMA s where s.xmldata.schema_url = 'http://xmlns.oracle.com/xdb/XDBSchema.xsd',68098,33323,1,94,1006,1
7usdntr2hnhn4,"SELECT USERNAME, ACTION_NAME, OBJ_NAME, TIMESTAMP FROM DBA_AUDIT_TRAIL ORDER BY TIMESTAMP DESC FETCH FIRST 20 ROWS ONLY",66534,41806,1,5,54,8
fh5ufah919kun,"select /*+ index(idl_sb4$ i_idl_sb41) */ piece#,length,piece from idl_sb4$ where obj#=:1 and part=:2 and version=:3 order by piece#",66494,67129,77,60,427,3
0sbbcuruzd66f,"select /*+ rule */ bucket_cnt, row_cnt, cache_cnt, null_cnt, timestamp#, sample_size, minimum, maximum, distcnt, lowval, hival, density, col#, spare1, spare2, avgcln, minimum_enc, maximum_enc from his",66188,48709,439,53,1313,1
c3utnxsnrx8tk,"update obj$ set obj#=:4, type#=:5,ctime=:6,mtime=:7,stime=:8,status=:9,dataobj#=:10,flags=:11,oid$=:12,spare1=:13,spare2=:14,spare3=:15,signature=:16,spare7=:17,spare8=:18,spare9=:19, dflcollid=decode",65569,9698,5,0,20,3
628z64gnn3yrg,"select directory_path, origin_con_id from dba_directories where owner='SYS' and directory_name='JAVA$JOX$CUJS$DIRECTORY$'",64758,59887,1,15,378,1
grvc6qzrs12dc,"SELECT /*+ NO_STATEMENT_QUEUING RESULT_CACHE (SYSOBJ=TRUE SHELFLIFE=30) */ ""OBJ#"",""PROGRAM_OID"",""FLAGS"",""JOB_STATUS"",""LAST_START_DATE"",""RETRY_COUNT"",""RUNNING_INSTANCE"",""RUNNING_SLAVE"",""JOB_DEST_ID"" FR",63748,70800,3,1,31,1
f3af1tnzpsmx9," SELECT /*jskqjobqlod3*/                                                 /**/     /*+ no_monitor no_statement_queuing current_instance */               /**/     OBJOID, CLSOID, DECODE(BITAND(FLAGS, 16",63310,59083,1,0,27,8
g8gkh6rzw6b5h,"SELECT T.TASK_ID, T.TASK_NAME, T.OWNER FROM SYS.DBA_ADVISOR_TASKS T, WRI$_ADV_PARAMETERS P WHERE T.TASK_ID = P.TASK_ID AND T.STATUS# <> :B2 AND T.READ_ONLY = 'FALSE' AND P.NAME = 'DAYS_TO_EXPIRE' AND ",63226,50751,1,42,2150,4
121ffmrc95v7g,"select i.obj#,i.ts#,i.file#,i.block#,i.intcols,i.type#,i.flags,i.property,i.pctfree$,i.initrans,i.maxtrans,i.blevel,i.leafcnt,i.distkey,i.lblkkey,i.dblkkey,i.clufac,i.cols,i.analyzetime,i.samplesize,i",61301,25928,115,36,727,98
7ppwsrkr4j4dw,"select attr, value_str, value_num, value_lob    from sys.session_template$    where template_id = :1    order by attr asc",60971,53314,1,10,182,1
